rank,model_display,architecture,spot_recognition_mean,dice_mean,iou_mean,rmse_mean,nrmse_mean,soft_intensity_dice_mean,integrated_intensity_abs_relative_error_mean,seconds_per_sample,n_samples,model,source_dir
1,0710-1637_pin,pin,0.9307647977113723,0.9561595076978207,0.9195719382703305,0.037370807659253436,192.50466789528244,0.9837969559848309,25856.774329745,0.0096767782700015,5000,final_20260710-163719_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin2
2,0721-2040_pin,pin,0.9068326512873173,0.9330483264565468,0.8814044878423214,0.041069566425401674,189.97927694298215,0.9734322833359241,25351.09047389557,0.0231533799956087,5000,final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,eva_server/evaluation/pins/pin_batch100
3,0720-1538_pin,pin,0.9042639859437942,0.9296092841088772,0.875961939021945,0.04240367369842711,191.75127400982342,0.9742575848817825,25299.596814638095,0.0096255657166242,5000,final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin_base320722
4,0709-1413_pin,pin,0.7564642217457295,0.8217102604448795,0.7272550293058156,0.12723060325952243,100.79222241236195,0.8782859093189239,12862.700654113292,0.0096605300154071,5000,final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin2
5,0707-1118_twooutput__0707_twooutputs,twooutput,0.6723438007831574,0.9515939618587493,0.9117211868882179,0.6665753045856952,3.0585243479788304,,3.509644369730353,0.0122814951709937,5000,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0707_twooutputs
6,0707-1118_twooutput__0707_twooutputs_second_edition,twooutput,0.6723438007831574,0.9515939618587493,0.9117211868882179,0.6665753045856952,3.0585243479788304,0.5357858921170234,3.509644369730353,0.009623099726811,5000,final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0707_twooutputs_second_edition
7,0702-1451_oneoutput,oneoutput,0.6426297241806984,0.6819373455643654,0.5469751874655485,0.11809397433064873,0.4754809047147632,0.8604076686561107,0.1948407002943102,0.0097091368391877,5000,final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/oneoutput/0702_oneoutput
8,0704-0227_pin,pin,0.6172559794843197,0.6475760339260102,0.5422920232445002,0.14557274301946158,439.26355842549054,0.8438259810686112,64284.94227715712,0.0096924001711886,5000,final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin2
9,0703-2013_twooutput,twooutput,0.5460439559847117,0.7675334894821048,0.6852922699145972,0.5779803010910749,965.3319060625553,0.525949386960268,78059.93153814621,0.0094467929780017,5000,final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/twooutput
10,0719-0847_twooutput,twooutput,0.45561932322382925,0.29793064929470414,0.2004025360180996,0.04611906851897943,106.40897265177229,0.9518427108466625,11953.933498788794,0.0094480206277919,5000,final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,eva_server/evaluation/twooutput/twooutput
11,0721-1027_twooutput,twooutput,0.4551907768204808,0.2877759432168677,0.19248654512809585,0.040749339313758494,75.50143528436068,0.9654506733357906,7115.32078089558,0.0720679817172233,5000,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0721-1027_newloss_twooutput~
12,0721-0111_twooutput,twooutput,0.4478302288845181,0.29257326811589296,0.1962033246227074,0.04989126687827516,84.2803126631639,0.9436539198696613,7761.9637966734035,0.0099762606698088,5000,final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0721twooutput_l1loss
13,0717-0844_twooutput,twooutput,0.4291113535217941,0.2848294623052366,0.19079475227339562,0.06286286730854768,14.431977549589611,0.9185618130996823,430.14726330921843,0.0108008935895981,5000,final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/twooutput/0717-0844_twooutput
14,0630-2045_twooutput__0630_2045_twooutput,twooutput,0.39869892536103724,0.5532469158262014,0.46657726382762194,0.4544852325588465,484.9683370533645,0.4900334413766861,43559.90971855323,0.0095510770260123,5000,final_20260630-204540_augmented_spot_patches_e200_b5_lr0.0001_s1,eva_server/evaluation/twooutput/0630_2045_twooutput
15,0630-2045_twooutput__0630_2045_twooutputs,twooutput,0.39869892536103724,0.5532469158262014,0.46657726382762194,0.4544852325588465,484.9683370533645,0.4900334413766861,43559.90971855323,0.0095464711926179,5000,final_20260630-204540_augmented_spot_patches_e200_b5_lr0.0001_s1,eva_server/evaluation/twooutput/0630_2045_twooutputs
