rank,model_display,architecture,spot_recognition_mean,dice_mean,iou_mean,rmse_mean,nrmse_mean,soft_intensity_dice_mean,integrated_intensity_abs_relative_error_mean,seconds_per_sample,n_samples,model,source_dir
1,0710-1637_pin,pin,0.9307647977113723,0.9561595076978207,0.9195719382703305,0.037370807659253436,192.50466789528244,0.9837969559848309,25856.774329745,0.0096767782700015,5000,final_20260710-163719_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin2
2,0721-2040_pin,pin,0.9068326512873173,0.9330483264565468,0.8814044878423214,0.041069566425401674,189.97927694298215,0.9734322833359241,25351.09047389557,0.0231533799956087,5000,final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,eva_server/evaluation/pins/pin_batch100
3,0720-1538_pin,pin,0.9042639859437942,0.9296092841088772,0.875961939021945,0.04240367369842711,191.75127400982342,0.9742575848817825,25299.596814638095,0.0096255657166242,5000,final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin_base320722
