model,donor_key,n,dice_mean,iou_mean,rmse_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,spot_recognition_mean,spot_recognition_p10
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|181|461|1951519,3,0.7512447436650594,0.6154552896817526,0.20456844568252563,0.8206823269526163,0.7382724285125732,0.7733381390571594,0.7203784823417664
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|84|363|1554874,4,0.7491493672132492,0.6243736296892166,0.20111849531531334,0.8183065950870514,0.6981898546218872,0.7740154266357422,0.7617910027503967
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|127|127|436075,9,0.7271920839945475,0.6110403537750244,0.176916456884808,0.8550153507126702,0.7020151085323758,0.7751378152105544,0.6828797340393067
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|273|273|104028,4,0.6969180256128311,0.5631456449627876,0.1461647991091013,0.849051833152771,0.6418415009975433,0.7753766179084778,0.7073795318603515
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|7|7|54476,19,0.7378433691827875,0.6053786026804071,0.18675362554035688,0.8466728611996299,0.7159390167186135,0.775544872409419,0.6859548091888428
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|114|394|1643007,3,0.7120276689529419,0.5676628251870474,0.15870492160320282,0.8661617437998453,0.7085150480270386,0.7766613960266113,0.7239777088165283
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|259|539|2410871,4,0.713603287935257,0.6091565862298012,0.15942921116948128,0.8144620060920715,0.7012856155633926,0.7770870327949524,0.7337030589580535
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|273|553|2451312,7,0.7605426141193935,0.6341871959822518,0.20540852631841386,0.8142740300723484,0.7154759253774371,0.7775670460292271,0.7179428577423096
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|58|58|242737,3,0.7234877745310465,0.605324000120163,0.16821284095446268,0.8480321764945984,0.7032595177491506,0.7776374419530233,0.679114580154419
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|167|447|1896154,3,0.6525336901346842,0.5916346311569214,0.09689019247889519,0.8066093524297079,0.6313053866227468,0.7778217792510986,0.6837821960449219
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|195|195|807221,3,0.7402534286181132,0.6037185192108154,0.18249463041623434,0.7800167004267374,0.6390530864397684,0.7788794040679932,0.730294156074524
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|190|190|785959,3,0.7325153946876526,0.584350049495697,0.1744439701239268,0.842652420202891,0.7175725897153219,0.7790356874465942,0.7764923334121704
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|216|496|2201946,4,0.7716437131166458,0.6433865427970886,0.2132311835885048,0.8344739675521851,0.7509133368730545,0.7792062759399414,0.7244820296764374
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|11|11|167555,19,0.7174706396303678,0.5905560333477823,0.15807554125785828,0.8497351690342552,0.6090649280108904,0.7796975499705264,0.6930347681045532
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|174|174|668440,4,0.7046913653612137,0.5589825883507729,0.14216007478535175,0.8537261784076691,0.6410959661006927,0.7812656462192535,0.718579226732254
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|62|342|1492694,5,0.752886164188385,0.6135279297828674,0.19020914137363434,0.8034696578979492,0.6601122975349426,0.7813385248184204,0.7545639038085937
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|8|8|54671,22,0.7586694224314257,0.6321446421471509,0.19547156583179126,0.837170351635326,0.7253872020678087,0.7815989255905151,0.6910033762454987
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|197|197|812567,6,0.7164569993813833,0.6065893868605295,0.15298920621474585,0.8562661409378052,0.7268128097057343,0.7817338903745016,0.7219660580158234
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|14|14|188210,20,0.749633738398552,0.619466857612133,0.18599809668958187,0.8588764518499374,0.6887945502996444,0.7818178236484528,0.6882033824920655
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|3|3|20806,16,0.7120015919208527,0.5783815253525972,0.1477594254538417,0.8416408784687519,0.5744317378848791,0.782121080905199,0.7031065225601196
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|275|555|2456737,5,0.7623569965362549,0.6270031452178955,0.19801959693431853,0.8516266465187072,0.7588762879371643,0.782168734073639,0.73565514087677
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|274|274|1211311,3,0.6987028121948242,0.5456587870915731,0.13291855404774347,0.8615816831588745,0.739757239818573,0.7828921476999918,0.7766571283340454
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_logtif.h5|1800|1800|157572,3,0.7266521255175272,0.5802033742268881,0.1601335604985555,0.8128872116406759,0.7316157619158427,0.7832592924435934,0.77601637840271
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|27|27|75554,4,0.7121599763631821,0.581954300403595,0.14483731053769588,0.840836688876152,0.6217073649168015,0.7836613357067108,0.7049040913581848
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|217|497|2202296,4,0.7333369255065918,0.6067774742841721,0.16500380635261536,0.7940827906131744,0.6098399013280869,0.7841665744781494,0.7562623500823975
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|24|24|428139,22,0.7504135072231293,0.618694467978044,0.17991302568804135,0.8629203167828646,0.7373179197311401,0.7852502383969047,0.7004109919071198
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|746|1728|712611,4,0.6627307236194611,0.5399477258324623,0.09184576012194157,0.8455288410186768,0.6655452400445938,0.7854424864053726,0.7323537170886993
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|33|67|896466,26,0.7631008739654834,0.6321193885344726,0.19170963105100852,0.8585658692396604,0.7084485739469528,0.7856956216005179,0.7124249339103699
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|178|458|1910882,4,0.7450432479381561,0.6335748583078384,0.17357677780091763,0.8704009652137756,0.7222882360219955,0.785733237862587,0.6680101215839386
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|25|59|878905,16,0.7463322058320045,0.6234200745820999,0.17461370304226875,0.8724688813090324,0.742336742579937,0.7858592607080936,0.6813470125198364
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|12|46|607012,28,0.7462162226438522,0.6178065165877342,0.17241853635225976,0.8656322572912488,0.6949124240449497,0.7868988450084414,0.7216719210147857
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|33|33|445437,25,0.7261921048164368,0.6029657018184662,0.1516595786809921,0.8800374865531921,0.7101477313041688,0.7872662615776062,0.6922492861747742
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|27|61|894788,23,0.7578869902569315,0.6363626498243083,0.18177410247533218,0.8720950639766195,0.6793336732232053,0.7880564357923425,0.7193506121635437
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|172|172|667669,5,0.7660112619400025,0.6380543351173401,0.18987272977828978,0.8201076269149781,0.7107607603073121,0.7880692839622497,0.7360397458076477
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|11|45|606718,21,0.7400886217753092,0.6118056972821554,0.16382832718747004,0.8734022208622524,0.6653474995068142,0.788130141439892,0.7024705410003662
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|22|302|1309528,4,0.7457612603902817,0.6116760224103928,0.1684190295636654,0.8484027832746506,0.7428300082683563,0.7886710911989212,0.7400795519351959
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|246|526|2344537,5,0.7702069520950318,0.6392870306968689,0.1921614110469818,0.8601495742797851,0.7699506163597107,0.7890227675437927,0.7555787682533264
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|615|615|277544,3,0.6389982203642527,0.5764837662378947,0.0608661820491155,0.7923831144968668,0.526286318898201,0.7890660166740417,0.6671691775321961
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|136|136|495861,4,0.7254765927791595,0.5907417982816696,0.14724468439817429,0.8799234628677368,0.7576528638601303,0.7891159504652023,0.7193574965000152
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Al_deformed_LoG_logtif.h5|30|65|895940,22,0.7562845525416461,0.6329041258855299,0.1773935082283887,0.8683663362806494,0.7121985893357884,0.7894455248659308,0.6821534991264343
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|13|293|1302579,4,0.745035246014595,0.6121514737606049,0.1636517196893692,0.8585758656263351,0.7635554075241089,0.7906917482614517,0.7118307411670685
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|189|469|2025484,3,0.7022276322046915,0.5806810657183329,0.12078554679950078,0.8627689480781555,0.7295600970586141,0.7907210389773051,0.7395870208740234
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|77|357|1542926,6,0.688298707207044,0.5970802108446757,0.1051182287434737,0.8452289998531342,0.6891109297672907,0.7915902435779572,0.7129808664321899
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|93|373|1573666,4,0.7134919315576553,0.5882884562015533,0.12995105050504208,0.8666595965623856,0.6030869483947754,0.791770413517952,0.695220285654068
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|241|241|1093313,4,0.7040189951658249,0.5832851827144623,0.11921963095664978,0.8650412708520889,0.7392561733722687,0.7923996895551682,0.7293509423732758
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|187|467|2022761,4,0.7361970096826553,0.6119929850101471,0.1511085145175457,0.8721192628145218,0.7404603660106659,0.7925442606210709,0.71453817486763
