model,model_path,n_batches,n_samples,n_spots,total_eval_seconds,inference_seconds,metric_seconds,overhead_seconds,seconds_per_sample,seconds_per_spot,samples_per_second,spots_per_second
final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1,checkpoints/final_20260704-022731_augmented_spot_patches_with_masks_e200_b10_lr0.0001_s1.pth,157,5000,10000,109.1034646120388,1.37959683383815,0.8477647959953174,106.87610298220534,0.02182069292240776,0.01091034646120388,45.828058877685585,91.65611775537117
final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1,checkpoints/final_20260709-141342_augmented_spots_train_pin_e200_b10_lr0.0001_s1.pth,157,5000,10000,89.19602192391176,1.015443729585968,0.6938194084214047,87.48675878590439,0.017839204384782353,0.008919602192391176,56.056311617408525,112.11262323481705
final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1.pth,157,5000,10000,94.88342349790037,0.9275685428874567,0.6315563528332859,93.32429860217962,0.018976684699580075,0.009488342349790038,52.69624361847191,105.39248723694382
final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,checkpoints/final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1.pth,157,5000,10000,82.87014614103828,0.9027954655466601,0.5992614822462201,81.3680891932454,0.016574029228207655,0.008287014614103827,60.33535878518188,120.67071757036376
final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,checkpoints/final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1.pth,157,5000,10000,66.98488695290871,0.7507755107944831,0.4562057501170784,65.77790569199715,0.013396977390581741,0.006698488695290871,74.64370289249078,149.28740578498156
final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,checkpoints/final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1.pth,157,5000,10000,73.31757794891018,0.6874436785001308,0.3706871506292373,72.25944711978082,0.014663515589782038,0.007331757794891019,68.19646993090996,136.3929398618199
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,checkpoints/final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1.pth,157,5000,10000,62.306865704013035,0.6954873813083395,0.37535368907265365,61.23602463363204,0.012461373140802607,0.0062306865704013035,80.24797818834854,160.49595637669708
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1.pth,157,5000,10000,62.291924190940335,0.6863669790327549,0.37338978168554604,61.232167430222034,0.012458384838188067,0.0062291924190940335,80.26722669015247,160.53445338030494
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,157,5000,10000,61.65846964495722,0.6864602150162682,0.37307332281488925,60.598936107126065,0.012331693928991444,0.006165846964495722,81.09186019035307,162.18372038070615
