rank,model_display,architecture,soft_dice_whole_mean,rmse_whole_mean,spot_recognition_mean,dice_mean,iou_mean,rmse_mean,nrmse_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,seconds_per_sample,n_samples,model,source_dir
1,multi-output Tversky loss ReduceLROnPlateau 0.5,unknown,0.9758339730381965,0.008380332273570771,0.9507356305122375,0.9410765679121017,0.8939952716886997,0.039605306449625594,0.14917107053492212,0.977436296248436,0.9758339730381965,0.0735790870099328,0.0123316939289914,5000,final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,eva_server/Auswertung_1608/multi-output
2,multi-output Tversky loss batch 20,unknown,0.9729446213245392,0.009644378853496114,0.9489766511559486,0.9380237532258033,0.8897383934020996,0.040070450682751786,0.1509906531974673,0.9767415701508522,0.9729446213245392,0.07350743231424126,0.0124613731408026,5000,final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,eva_server/Auswertung_1608/multi-output
3,multi-output Tversky loss learning rate 1e-4,unknown,0.9727943494081497,0.010360373806673984,0.9489970085501671,0.9411443051636219,0.8949657571077346,0.04315028783921148,0.15537735107243056,0.9770383408367633,0.9727943494081497,0.09041843020515512,0.012458384838188,5000,final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/Auswertung_1608/multi-output
