model_display,architecture,dataset,soft_dice_whole_mean,rmse_whole_mean
multi-output Tversky loss learning rate 1e-4,unknown,Al_small_grains,0.9862353274787682,0.005201321979520619
multi-output Tversky loss learning rate 1e-4,unknown,Cu,0.971318542748533,0.004782842149657852
multi-output Tversky loss learning rate 1e-4,unknown,IN718_twins,0.9846194785229018,0.024776785347469944
multi-output Tversky loss learning rate 1e-4,unknown,Iron,0.9680113948103207,0.006836986997592171
multi-output Tversky loss learning rate 1e-4,unknown,Iron_deformed,0.9714634298636199,0.0068480676373205525
multi-output Tversky loss learning rate 1e-4,unknown,Ti7Al,0.9368498596137967,0.015233224563316617
multi-output Tversky loss learning rate 3e-4,unknown,Al,0.983637596196113,0.01491575400437667
multi-output Tversky loss learning rate 3e-4,unknown,Al_big_grains,0.9561286643147469,0.01612119167913219
multi-output Tversky loss learning rate 3e-4,unknown,Al_deformed_LoG,0.9885914317435689,0.005390458486039633
multi-output Tversky loss learning rate 3e-4,unknown,Al_small_grains,0.9816675338948119,0.006296275496108245
multi-output Tversky loss learning rate 3e-4,unknown,Cu,0.9708119640730308,0.005290648793954932
multi-output Tversky loss learning rate 3e-4,unknown,IN718_twins,0.9809762890604334,0.029518828611583895
multi-output Tversky loss learning rate 3e-4,unknown,Iron,0.9634116897498494,0.007960056980338538
multi-output Tversky loss learning rate 3e-4,unknown,Iron_deformed,0.9701378826500056,0.007629773758445389
multi-output Tversky loss learning rate 3e-4,unknown,Ti7Al,0.9359576443659848,0.01572689839301562
multi-output Tversky loss learning rate 5e-5,unknown,Al,0.9878283402578577,0.00968485519844208
multi-output Tversky loss learning rate 5e-5,unknown,Al_big_grains,0.9520834892772246,0.013479067972461319
multi-output Tversky loss learning rate 5e-5,unknown,Al_deformed_LoG,0.9864937168959942,0.004587465286830443
multi-output Tversky loss learning rate 5e-5,unknown,Al_small_grains,0.9847525114166564,0.004747574440957726
multi-output Tversky loss learning rate 5e-5,unknown,Cu,0.9648292472817643,0.004942427946323063
multi-output Tversky loss learning rate 5e-5,unknown,IN718_twins,0.9855345139209604,0.019353710523219526
multi-output Tversky loss learning rate 5e-5,unknown,Iron,0.9638096520037793,0.006704102005112742
multi-output Tversky loss learning rate 5e-5,unknown,Iron_deformed,0.9706542794216471,0.006746923370383752
multi-output Tversky loss learning rate 5e-5,unknown,Ti7Al,0.92380119685469,0.01528236435963125
one-output Dice/L1 loss,oneoutput,Al,0.8499188277525843,0.0429155508732426
one-output Dice/L1 loss,oneoutput,Al_big_grains,0.7548541364030562,0.04166444887211407
one-output Dice/L1 loss,oneoutput,Al_deformed_LoG,0.8233937662508752,0.02174577821925691
one-output Dice/L1 loss,oneoutput,Al_small_grains,0.8307495404412781,0.020166754592682416
one-output Dice/L1 loss,oneoutput,Cu,0.7816407015048059,0.016103774544027716
one-output Dice/L1 loss,oneoutput,IN718_twins,0.8700924252065465,0.07942601799720497
one-output Dice/L1 loss,oneoutput,Iron,0.7583556775170476,0.02420301828533406
one-output Dice/L1 loss,oneoutput,Iron_deformed,0.8120773208847594,0.021671280386076797
one-output Dice/L1 loss,oneoutput,Ti7Al,0.7230911676739824,0.0398243753576715
one-output Tversky loss,oneoutput,Al,0.7546693849626012,0.052088385238596574
one-output Tversky loss,oneoutput,Al_big_grains,0.6188944828953,0.04072599705735527
one-output Tversky loss,oneoutput,Al_deformed_LoG,0.6243223389093246,0.025534065549032224
one-output Tversky loss,oneoutput,Al_small_grains,0.7013102793067262,0.023346781961004412
one-output Tversky loss,oneoutput,Cu,0.5974173641350975,0.01780002153679991
one-output Tversky loss,oneoutput,IN718_twins,0.7940249297301291,0.1039740681855626
one-output Tversky loss,oneoutput,Iron,0.5658464591338563,0.02395765273277938
one-output Tversky loss,oneoutput,Iron_deformed,0.5586768140484657,0.02737861696615663
one-output Tversky loss,oneoutput,Ti7Al,0.48470694283986915,0.04252273663678867
two-output L1 loss,twooutput,Al,0.9900186591331456,0.007235683587316314
two-output L1 loss,twooutput,Al_big_grains,0.8982805398063384,0.017801550338449636
two-output L1 loss,twooutput,Al_deformed_LoG,0.9810523640157448,0.004966129422326809
two-output L1 loss,twooutput,Al_small_grains,0.9790147318896176,0.005067165114071535
two-output L1 loss,twooutput,Cu,0.9133418914837511,0.0075409248234351335
two-output L1 loss,twooutput,IN718_twins,0.9942417372292126,0.012434450082784512
two-output L1 loss,twooutput,Iron,0.8937184584896956,0.010634812094191206
two-output L1 loss,twooutput,Iron_deformed,0.9218288578186685,0.01020770492916253
two-output L1 loss,twooutput,Ti7Al,0.8289239254491082,0.0222372293990137
two-output L1 loss base channel 32,twooutput,Al,0.9807927381721883,0.010695557188840752
two-output L1 loss base channel 32,twooutput,Al_big_grains,0.8530298728576821,0.02460349026449067
two-output L1 loss base channel 32,twooutput,Al_deformed_LoG,0.9653997715666063,0.006884520827144167
two-output L1 loss base channel 32,twooutput,Al_small_grains,0.9641228834895984,0.006819151302266384
two-output L1 loss base channel 32,twooutput,Cu,0.8526968662145885,0.01007642209507037
two-output L1 loss base channel 32,twooutput,IN718_twins,0.9886801829394953,0.018114538273587034
two-output L1 loss base channel 32,twooutput,Iron,0.8551382332929035,0.013236785337281948
two-output L1 loss base channel 32,twooutput,Iron_deformed,0.8985258337090216,0.01240169014459842
two-output L1 loss base channel 32,twooutput,Ti7Al,0.759448565080248,0.028626477254297664
two-output L1 loss batch 100,twooutput,Al,0.99136503641518,0.0066820344146922474
two-output L1 loss batch 100,twooutput,Al_big_grains,0.9199795014076475,0.014622088456762555
two-output L1 loss batch 100,twooutput,Al_deformed_LoG,0.9822090053930879,0.004959328296333953
two-output L1 loss batch 100,twooutput,Al_small_grains,0.9788981946050257,0.005132420324208756
two-output L1 loss batch 100,twooutput,Cu,0.9198329626156863,0.007413354481492083
two-output L1 loss batch 100,twooutput,IN718_twins,0.9965587367357364,0.009405800707964086
two-output L1 loss batch 100,twooutput,Iron,0.9062425241207899,0.009594205680473507
two-output L1 loss batch 100,twooutput,Iron_deformed,0.9314464636722202,0.009491717045082906
two-output L1 loss batch 100,twooutput,Ti7Al,0.8561654765544267,0.018626017316248508
two-output Tversky loss,twooutput,Al,0.605043248564369,0.1968510614977873
