rank,model_display,architecture,spot_recognition_mean,dice_mean,iou_mean,rmse_mean,nrmse_mean,soft_intensity_dice_mean,integrated_intensity_abs_relative_error_mean,seconds_per_sample,n_samples,model,source_dir
1,multi-head Tversky Loss,pin,0.9307647977113723,0.9561595076978207,0.9195719382703305,0.037370807659253436,192.50466789528244,0.9837969559848309,25856.774329745,0.0096767782700015,5000,final_20260710-163719_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/pin2
2,multi-head Tversky Loss lr 1e-04,pin,0.913028157901764,0.941067641478777,0.894831939125061,0.043380740100331557,176.2528040225029,0.9769516977250576,23478.747909297123,0.0095901246348,5000,final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,eva_server/evaluation/pins/dif_lr_original
3,multi-head Tversky Loss batch 20,pin,0.9126922401309013,0.9379256517648696,0.8895610136985779,0.039717398428544354,181.166039945719,0.9770321542799473,24356.193578415572,0.0098007143859984,5000,final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,eva_server/evaluation/pins/batch20
