model_display,dice_mean,iou_mean,rmse_mean,nrmse_mean,soft_intensity_dice_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,reconstruction_rmse,n_samples,model,model_path,architecture,source_dir,source_file,spot_recognition_p10,dice_p10,total_eval_seconds,seconds_per_sample,seconds_per_spot,samples_per_second,spots_per_second
0719-0847_twooutput,0.29793064929470414,0.2004025360180996,0.04611906851897943,106.40897265177229,0.9518427108466625,11953.933498788794,0.45561932322382925,,5000,final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,checkpoints/final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/twooutput,eva_server/evaluation/twooutput/twooutput/model_separation_metrics_5000.csv,0.29369698762893676,0.13317725211381903,47.24010313895997,0.0094480206277919,0.0047240103138959,105.8422752654066,211.68455053081323
0720-1538_pin,0.9296092841088772,0.875961939021945,0.04240367369842711,191.75127400982342,0.9742575848817825,25299.596814638095,0.9042639859437942,,5000,final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260720-153845_augmented_spots_train_e200_b10_lr0.0001_s1.pth,pin,eva_server/evaluation/pins/pin_base320722,eva_server/evaluation/pins/pin_base320722/pin_model_separation_metrics_5000.csv,0.8336149334907532,0.887327516078949,48.1278285831213,0.0096255657166242,0.0048127828583121,103.88999768324324,207.7799953664865
0721-0111_twooutput,0.29257326811589296,0.1962033246227074,0.04989126687827516,84.2803126631639,0.9436539198696613,7761.9637966734035,0.4478302288845181,,5000,final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/0721twooutput_l1loss,eva_server/evaluation/twooutput/0721twooutput_l1loss/model_separation_metrics_5000.csv,0.27957235574722283,0.12705526500940315,49.881303349044174,0.0099762606698088,0.0049881303349044,100.2379581987368,200.4759163974736
0721-1027_twooutput,0.2877759432168677,0.19248654512809585,0.040749339313758494,75.50143528436068,0.9654506733357906,7115.32078089558,0.4551907768204808,,5000,final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,twooutput,eva_server/evaluation/twooutput/0721-1027_newloss_twooutput~,eva_server/evaluation/twooutput/0721-1027_newloss_twooutput~/model_separation_metrics_5000.csv,0.30564182102680204,0.12280836850404733,360.3399085861165,0.0720679817172233,0.0360339908586116,13.875787501913807,27.751575003827615
0721-2040_pin,0.9330483264565468,0.8814044878423214,0.041069566425401674,189.97927694298215,0.9734322833359241,25351.09047389557,0.9068326512873173,,5000,final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1,checkpoints/final_20260721-204034_augmented_spots_train_e200_b100_lr0.0001_s1.pth,pin,eva_server/evaluation/pins/pin_batch100,eva_server/evaluation/pins/pin_batch100/pin_model_separation_metrics_5000.csv,0.8267617881298065,0.8865005314350128,115.76689997804353,0.0231533799956087,0.0115766899978043,43.19023832328849,86.38047664657698
0727-1529_oneoutput,0.6217639835447073,0.5577492898479104,0.1438952989346618,0.5557205220349317,0.6404638083875179,0.4642492580019698,0.569105924937129,3.319277482511686e-11,5000,final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,checkpoints/final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1.pth,oneoutput,eva_server/evaluation/oneoutput/tversky,eva_server/evaluation/oneoutput/tversky/oneoutput_model_separation_metrics_5000.csv,0.36307171583175657,0.41260183155536645,102.9254243739997,0.0205850848747999,0.0102925424373999,48.57886212673285,97.15772425346567
0728-0732_pin,0.9088156424641609,0.8429820476353168,0.05037498439066108,133.57250838653445,0.9724193479776383,14001.426816161102,0.8854547580063343,,5000,final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1,checkpoints/final_20260728-073240_augmented_spots_train_e200_b10_lr0.0003_s1.pth,pin,eva_server/evaluation/pins/dif_lr,eva_server/evaluation/pins/dif_lr/pin_model_separation_metrics_5000.csv,0.8052898347377777,0.8284889101982117,86.23705010302365,0.0172474100206047,0.0086237050103023,57.97971978432376,115.95943956864753
0729-0433_pin,0.9347074387311936,0.8858375040262938,0.04066894803117025,435.6883023543904,0.9731275951206684,51550.00768935232,0.9084806125223637,,5000,final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1,checkpoints/final_20260729-043315_augmented_spots_train_e200_b10_lr5e-05_s1.pth,pin,eva_server/evaluation/pins/dif_lr,eva_server/evaluation/pins/dif_lr/pin_model_separation_metrics_5000.csv,0.8261139333248139,0.885796743631363,77.26614706398686,0.0154532294127973,0.0077266147063986,64.71139289318155,129.4227857863631
0802-1237_pin,0.9379256517648696,0.8895610136985779,0.039717398428544354,181.166039945719,0.9770321542799473,24356.193578415572,0.9126922401309013,,5000,final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,checkpoints/final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1.pth,pin,eva_server/evaluation/pins/batch20,eva_server/evaluation/pins/batch20/pin_model_separation_metrics_5000.csv,0.839707762002945,0.8920990943908691,49.00357192999218,0.0098007143859984,0.0049003571929992,102.03337844725144,204.0667568945029
0803-1354_pin,0.941067641478777,0.894831939125061,0.043380740100331557,176.2528040225029,0.9769516977250576,23478.747909297123,0.913028157901764,,5000,final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1.pth,pin,eva_server/evaluation/pins/dif_lr_original,eva_server/evaluation/pins/dif_lr_original/pin_model_separation_metrics_5000.csv,0.8466683089733124,0.8960205376148224,47.95062317400016,0.0095901246348,0.0047950623174,104.27393157866416,208.5478631573283
