model,model_path,n_batches,n_samples,n_spots,total_eval_seconds,inference_seconds,metric_seconds,overhead_seconds,seconds_per_sample,seconds_per_spot,samples_per_second,spots_per_second
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,157,5000,10000,62.41414245497435,1.0661550320219249,0.5216512412298471,60.82633618172258,0.012482828490994871,0.0062414142454974356,80.11004883399634,160.2200976679927
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,checkpoints/final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1.pth,157,5000,10000,62.22925357706845,0.6909123873338103,0.36553035536780953,61.17281083436683,0.01244585071541369,0.006222925357706845,80.34806321126284,160.69612642252568
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1.pth,157,5000,10000,73.73835918004625,0.6872567685786635,0.36158634745515883,72.68951606401242,0.014747671836009248,0.007373835918004624,67.80731298606126,135.61462597212252
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1.pth,157,5000,10000,62.53839391702786,0.6887304214760661,0.3632871238514781,61.48637637170032,0.012507678783405573,0.006253839391702786,79.95088595709215,159.9017719141843
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1.pth,157,5000,10000,62.710622953018174,0.6322774093132466,0.3625608133152127,61.715784730389714,0.012542124590603635,0.006271062295301818,79.7313081030294,159.4626162060588
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,checkpoints/final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1.pth,157,5000,10000,62.881254209904,0.6891813420224935,0.3672039385419339,61.82486892933957,0.0125762508419808,0.0062881254209904,79.51495342808356,159.02990685616712
