model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10,soft_intensity_dice_mean,soft_intensity_dice_whole_mean
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,IN718_twins,503,0.9380617356205555,0.8963475879689097,0.5888528028136456,0.32311888898224767,1.7096810299406944,1.7576567594621102,1.7096750159149852,1.6424339022006003,0.6746044671440693,0.6322675585746765,0.6606048307646339,0.6485823010711025
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Al,573,0.9303428980068387,0.881025139469959,0.6458211152653419,0.2082930916032866,2.3844594240812733,2.4340136676350603,2.3843318738862482,2.439955903805571,0.642260891604798,0.6026703476905823,0.5935353915520779,0.5880985499780632
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Al_big_grains,552,0.7806054013848737,0.6942525872879702,0.6238211001930893,0.23984189978733228,3.609522928686246,2339.869282266692,3.607733022313619,3.7399280869496474,0.5783921535248342,0.5116653919219971,0.46218843234406004,0.4280267883146155
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.6944804491164783,0.5640174681579487,0.5839084930614464,0.08027855178806931,1.801088893579112,1.8988186427288585,1.792355332730545,1.7076943246389016,0.5552859780275159,0.5040411055088043,0.5693505104475965,0.5524354773935758
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Ti7Al,580,0.6931311292381123,0.5896363237037741,0.5902166940528771,0.22048068024731915,3.2210640187921196,2962.218292619545,3.218081821347105,3.4095723577614487,0.5514572185689005,0.49183860421180725,0.3705301527190825,0.33176952938324417
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Al_small_grains,552,0.6911843285720417,0.5594846986342168,0.5530322913782321,0.07741169394938734,2.148258354568827,2.3484030964149945,2.146120395997296,2.036058140648664,0.5690760184349357,0.5061302959918976,0.6002417004302792,0.5646920742440051
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Iron,536,0.689259522247003,0.5728072465689324,0.5881777869454071,0.11872143126718367,2.9648373359397278,4.583915037339303,2.958192648505097,3.027055778248764,0.5505408669696815,0.4846918284893036,0.45803296638291274,0.41876906893257776
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Iron_deformed,557,0.6527005876790686,0.5202252956331311,0.5550899283034155,0.09446479703836425,1.9396717509846713,2.698866280447859,1.9312546904896064,1.880406574939697,0.548805330717799,0.49301674365997317,0.5397886713461774,0.46802681940649526
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,Cu,571,0.5148489908453879,0.387755768781368,0.47728741662201657,0.051153455187294194,1.7627679943620846,2.2092754540217947,1.749557850970487,1.6634342241706082,0.5187807874900865,0.4230274558067322,0.4875475219377494,0.4485455129536981
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Al,573,0.9896449227191599,0.9807548964002786,0.631291009680763,0.19685106149778733,2.385558880956593,2.3890728993149537,2.38543524386371,2.5196324601431375,0.679176957299364,0.6375981092453002,0.6054935321653908,0.605043248564369
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,IN718_twins,503,0.984677904287342,0.97400635741577,0.5743299506412112,0.30453279922544124,1.6745284564689424,1.685414897518651,1.6745225373603714,1.6653264667357413,0.7051739749567172,0.6657007455825805,0.6749237829126847,0.6722178680759301
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.970031839174529,0.9424321465194225,0.6523157737942206,0.0820976599611135,2.039033249227537,2.0399257976354823,2.0264360022006764,2.272995109876825,0.6588580306205485,0.6232099533081055,0.5760643841802247,0.5758690123653246
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Al_small_grains,552,0.9657573574695034,0.9346731220898421,0.6310648150418116,0.07886398588374689,2.539462195466394,2.543966603235922,2.5361757219053698,2.7664884689493454,0.6673462721316711,0.6333182096481323,0.5997339264098285,0.599190126510634
