model,donor_key,n,dice_mean,iou_mean,rmse_mean,spot_recognition_mean,spot_recognition_p10
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|184|184|749244,3,0.39032357931137085,0.312211553255717,0.49104119340578717,0.4496411979198456,0.391784805059433
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|144|144|528465,3,0.5721231400966644,0.47659018635749817,0.6656600038210551,0.4532315631707509,0.42059668302536013
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|55|55|220305,3,0.4880867600440979,0.35561056931813556,0.5220261116822561,0.4830303390820821,0.4060657262802124
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|192|192|64402,3,0.5887277126312256,0.47013041377067566,0.6038463314374288,0.49244070053100586,0.45878944396972654
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|278|278|106292,4,0.5876322910189629,0.46325429528951645,0.6013960391283035,0.49311812222003937,0.4727349251508713
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|162|442|1877566,3,0.594174842039744,0.4682099868853887,0.5999469657739004,0.4971139629681905,0.48010735511779784
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|27|27|75554,4,0.5231186971068382,0.39408666640520096,0.5251578837633133,0.49898040294647217,0.47441035509109497
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|228|228|1010103,3,0.44314339756965637,0.3381602267424266,0.4421353538831075,0.5005040168762207,0.4761914134025574
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|279|279|1239202,4,0.6084740608930588,0.4583710804581642,0.6068423837423325,0.5008158460259438,0.45064511001110075
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|372|372|143345,3,0.6873461604118347,0.554909904797872,0.6806508104006449,0.5033476650714874,0.47667880058288575
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|689|689|304122,3,0.5703870952129364,0.43329084912935895,0.563538114229838,0.5034244855244955,0.48217297792434693
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|217|497|2202296,4,0.5636094957590103,0.421246200799942,0.5564938932657242,0.5035578012466431,0.4355485200881958
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|238|518|2313516,3,0.46383801102638245,0.3483111709356308,0.45496564110120136,0.504436194896698,0.4468487620353699
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|800|1782|729836,3,0.40635596712430316,0.2997887233893077,0.39746108651161194,0.5044474403063456,0.49642314910888674
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|164|164|645795,3,0.5483333269755045,0.40792317191759747,0.5378391742706299,0.5052470664183298,0.48707644939422606
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|84|363|1554874,4,0.41545112431049347,0.296207282692194,0.4047674089670181,0.5053418576717377,0.4698784500360489
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|230|510|2253954,4,0.47431352734565735,0.3593555726110935,0.46277811378240585,0.5057677030563354,0.46792806386947633
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|900|1881|752712,3,0.5459643801053365,0.4405557910601298,0.532940685749054,0.5065118273099264,0.5044098615646362
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|44|44|162956,4,0.560030922293663,0.4179648905992508,0.5438191741704941,0.5081058815121651,0.46798962652683257
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|178|458|1910882,4,0.5513643622398376,0.42515427619218826,0.532691590487957,0.5093363896012306,0.4525751739740372
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|127|407|1676778,4,0.4603200703859329,0.3293740153312683,0.4385032430291176,0.5109084248542786,0.4429195702075958
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|56|336|1461382,5,0.4768273591995239,0.33494402170181276,0.4549109101295471,0.5109582364559173,0.44676599502563474
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|168|448|1896773,3,0.5904183785120646,0.4560365478197734,0.5670458475748698,0.5116862754027048,0.465273118019104
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Iron_deformed_logtif.h5|2|2|12606,8,0.6323059797286987,0.4876041002571583,0.6077843829989433,0.512260802090168,0.47449881434440616
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,?|Ti7Al_logtif.h5|431|1413|574457,3,0.5671441952387491,0.5078691442807516,0.5413452585538229,0.5128994584083557,0.4853158712387085
