model,<50%,50-70%,70-90%,>90%,total_spots,<50%_fraction,50-70%_fraction,70-90%_fraction,>90%_fraction
final_20260703-201335_augmented_spot_patches_e200_b10_lr0.0001_s1,2145,7001,854,0,10000,0.2145,0.7001,0.0854,0.0
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,69,7819,2110,2,10000,0.0069,0.7819,0.211,0.0002
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,168,323,2430,7079,10000,0.0168,0.0323,0.243,0.7079
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,68,153,1528,8251,10000,0.0068,0.0153,0.1528,0.8251
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,87,186,1701,8026,10000,0.0087,0.0186,0.1701,0.8026
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,17,265,2272,7446,10000,0.0017,0.0265,0.2272,0.7446
