model,model_path,n_batches,n_samples,n_spots,total_eval_seconds,inference_seconds,metric_seconds,overhead_seconds,seconds_per_sample,seconds_per_spot,samples_per_second,spots_per_second
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,157,5000,10000,80.96337385312654,1.35778474714607,0.7606746186502278,78.84491448733024,0.016192674770625307,0.008096337385312654,61.75631970414628,123.51263940829256
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,checkpoints/final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1.pth,157,5000,10000,79.95076499599963,0.8195268090348691,0.5759819431696087,78.55525624379516,0.015990152999199928,0.007995076499599964,62.53848853416446,125.07697706832892
