model,model_path,sample_name,spot_channel,spot_role,recognition_bin,spot_recognition,dice,iou,rmse,rmse_whole,nrmse,nrmse_whole,nrmse_positive,intensity_score,soft_intensity_dice,soft_intensity_dice_whole,pred_integral,target_integral,integrated_intensity_error,integrated_intensity_abs_error,integrated_intensity_relative_error,integrated_intensity_abs_relative_error,batch_eval_seconds,batch_seconds_per_sample,batch_seconds_per_spot,donor_keys
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000040,0,direct_output,70-90%,0.7529757022857666,0.5945082902908325,0.42298954725265503,0.08855681866407394,0.0562189444899559,0.26232513785362244,0.26232513785362244,0.26228368282318115,0.7377163171768188,0.9643169045448303,0.9643169045448303,1232.202392578125,1574.5599365234375,-342.3575439453125,342.3575439453125,-0.21743062138557434,0.21743062138557434,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|1584|1584|45750', '?|Al_big_grains_logtif.h5|3766|8711|277505']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000040,1,residual_output,50-70%,0.5326050519943237,0.0993676632642746,0.052281368523836136,0.03415757790207863,0.0562189444899559,0.2125549167394638,2.978671073913574,0.2125549167394638,0.787445068359375,0.9799443483352661,0.19923603534698486,31.052616119384766,26.768932342529297,4.283683776855469,4.283683776855469,0.16002444922924042,0.16002444922924042,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|1584|1584|45750', '?|Al_big_grains_logtif.h5|3766|8711|277505']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000043,0,direct_output,70-90%,0.8169677257537842,0.7386075854301453,0.5855494141578674,0.10467219352722168,0.05155733600258827,0.24006125330924988,0.24033378064632416,0.24002914130687714,0.7599708437919617,0.9702862501144409,0.9702207446098328,1163.1773681640625,1384.244140625,-221.0667724609375,221.0667724609375,-0.1597021520137787,0.1597021520137787,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|4254|9197|294024', '?|Al_big_grains_logtif.h5|3112|8056|254733']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000043,1,residual_output,>90%,0.9123128056526184,0.8732640147209167,0.7750387787818909,0.04863837733864784,0.05155733600258827,0.10488336533308029,0.20103228092193604,0.10488336533308029,0.8951166272163391,0.9945704936981201,0.9803385138511658,2070.329345703125,2013.457275390625,56.8720703125,56.8720703125,0.02824597805738449,0.02824597805738449,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|4254|9197|294024', '?|Al_big_grains_logtif.h5|3112|8056|254733']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000082,0,direct_output,70-90%,0.8750406503677368,0.825308620929718,0.7025749087333679,0.07522733509540558,0.02563805878162384,0.15376068651676178,0.15376070141792297,0.15370914340019226,0.8462908267974854,0.9883623719215393,0.9883623719215393,738.9305419921875,773.5319213867188,-34.60137939453125,34.60137939453125,-0.04473167657852173,0.04473167657852173,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|3581|3581|115704', '?|Al_big_grains_logtif.h5|4123|9065|289870']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000082,1,residual_output,>90%,0.9583749771118164,0.9488236308097839,0.9026302695274353,0.0320737287402153,0.02563805878162384,0.12096808105707169,0.1632092446088791,0.12096809595823288,0.8790318965911865,0.9927476644515991,0.986876368522644,1287.795166015625,1287.5106201171875,0.2845458984375,0.2845458984375,0.00022100469504948705,0.00022100469504948705,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|3581|3581|115704', '?|Al_big_grains_logtif.h5|4123|9065|289870']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000096,0,direct_output,70-90%,0.7685674428939819,0.7988855242729187,0.6651201844215393,0.26175063848495483,0.09949276596307755,0.7498646974563599,0.7506831884384155,0.7498647570610046,0.25013524293899536,0.8295387625694275,0.8292300701141357,942.5819702148438,670.7569580078125,271.82501220703125,271.82501220703125,0.4052511155605316,0.4052511155605316,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|2164|7109|220371', '?|Al_big_grains_logtif.h5|2470|2470|74829']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000096,1,residual_output,50-70%,0.6876596212387085,0.6373082399368286,0.4676833748817444,0.261989027261734,0.09949276596307755,0.8606060743331909,0.8768728971481323,0.8606061339378357,0.1393938660621643,0.4667065739631653,0.4573982059955597,269.814453125,585.1212158203125,-315.3067626953125,315.3067626953125,-0.5388742685317993,0.5388742685317993,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|2164|7109|220371', '?|Al_big_grains_logtif.h5|2470|2470|74829']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000116,0,direct_output,>90%,0.9221398234367371,0.8938653469085693,0.8080981373786926,0.04958567023277283,0.03373169153928757,0.10257310420274734,0.10257310420274734,0.10257011651992798,0.897429883480072,0.9947118163108826,0.9947118163108826,3045.3935546875,3191.32080078125,-145.92724609375,145.92724609375,-0.04572628438472748,0.04572628438472748,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|2350|7294|226675', '?|Al_big_grains_logtif.h5|1299|6243|192942']"
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_000116,1,residual_output,70-90%,0.8312366008758545,0.6964136958122253,0.534229040145874,0.03394041955471039,0.03373169153928757,0.14018917083740234,0.43497219681739807,0.14018918573856354,0.8598108291625977,0.990433394908905,0.9149233102798462,361.39263916015625,349.1007080078125,12.29193115234375,12.29193115234375,0.035210274159908295,0.035210274159908295,0.6139355581253767,0.019185486191418022,0.009592743095709011,"['?|Al_big_grains_logtif.h5|2350|7294|226675', '?|Al_big_grains_logtif.h5|1299|6243|192942']"
