model,<50%,50-70%,70-90%,>90%,total_spots,<50%_fraction,50-70%_fraction,70-90%_fraction,>90%_fraction
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,83,2020,6739,1158,10000,0.0083,0.202,0.6739,0.1158
final_20260727-152943_oneoutput_augmented_spots_train_e2000_b10_lr0.0001_s1,2600,660,3794,2946,10000,0.26,0.066,0.3794,0.2946
