model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,IN718_twins,2222,0.9834527741081537,0.9692473984671326,0.029629318939704653,0.01749553679824747,0.08202620078226959,0.09074227230809462,0.08203858709085186,0.9924889493106616,0.9898518268371036,0.04069746151427352,0.9769117273155576,0.9703976213932037
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Al,2222,0.9747954077757124,0.9523823344149533,0.02995221031843127,0.009508485270257114,0.1010996944775669,0.10563048151045917,0.10131389549392687,0.9900229949601377,0.988678713755818,0.04877683611060254,0.9724215997113074,0.9609588861465455
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Al_small_grains,2222,0.9375336677989479,0.8845015673702843,0.04097595921332816,0.005049756758709704,0.13245871328622183,0.1359784496507191,0.13687334093495762,0.9852225737030929,0.9841776587317164,0.06299218997469509,0.9482788541475788,0.9282621383666992
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Al_deformed_LoG,2223,0.9330695574475579,0.877225823945094,0.0409419515463002,0.004902122771688764,0.11137640373333048,0.11655292121732873,0.11903493282658743,0.989408368791914,0.9877681739149038,0.05027561997892138,0.946063803141041,0.9190582036972046
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Al_big_grains,2223,0.9198019651882937,0.8694064461509226,0.04207928472978209,0.015630512593891782,0.21702049349091554,197.9216325411785,0.2186088599725465,0.9469221078137584,0.9353308145038941,0.11603580015173975,0.938861341102135,0.8686878442764282
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Iron,2222,0.9114450766469422,0.8498103697486658,0.04625161624434769,0.0075653779299881116,0.20474610103648005,0.24135228292052538,0.21294204562962807,0.9545308696080927,0.9455085925147622,0.11001422967255438,0.9325967305796732,0.8730110287666321
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Cu,2222,0.9029752783926621,0.8289841260462597,0.06087746916374009,0.0054427366424498625,0.212955062179537,0.23574841858753742,0.2400997373636755,0.9638451990461049,0.9586904855674715,0.11651576139875516,0.9210489051605967,0.8737660109996795
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Iron_deformed,2222,0.8886471340025361,0.8123983786811064,0.0622820803810927,0.008932846630391147,0.22063479902479263,0.254330076745013,0.23008573748687705,0.9530375944961845,0.9433726358665849,0.12292476228843204,0.9131825268536833,0.8399313032627106
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Ti7Al,2222,0.878189058184731,0.8086865013725151,0.06046951736422452,0.020282371517989204,0.30246819799697205,0.38340168924286333,0.30385996430314255,0.9067425261897938,0.8895878830772064,0.16916414414818334,0.9088597703795515,0.7990122854709625
